Source,Target,Type
1931258,1453436,Undirected
1931258,2052335,Undirected
1931258,1765421,Undirected
1931258,1148483,Undirected
1931258,1217083,Undirected
1931258,1536503,Undirected
1931258,1057235,Undirected
1931258,1411371,Undirected
1931258,1984059,Undirected
1931258,1315037,Undirected
1931258,1387010,Undirected
1931258,2080292,Undirected
1931258,2137884,Undirected
1931258,1614155,Undirected
1931258,1374867,Undirected
1931258,1013717,Undirected
1931258,1126570,Undirected
1556454,1996227,Undirected
1556454,2000451,Undirected
1556454,1294198,Undirected
1556454,1649846,Undirected
1556454,2191557,Undirected
1556454,1103114,Undirected
1556454,1596326,Undirected
1556454,1468478,Undirected
1556454,1019960,Undirected
1556454,1108175,Undirected
1556454,1516850,Undirected
1556454,1447080,Undirected
1556454,1415049,Undirected
1556454,1487627,Undirected
1556454,1097259,Undirected
1556454,1391659,Undirected
1556454,1807697,Undirected
1556454,1119486,Undirected
1556454,1896069,Undirected
1556454,1037189,Undirected
1509405,2138572,Undirected
1509405,1847783,Undirected
1509405,1139805,Undirected
1509405,2039082,Undirected
1509405,1873967,Undirected
1509405,1576142,Undirected
1509405,1178027,Undirected
1509405,1902104,Undirected
1509405,1486222,Undirected
1509405,1611264,Undirected
1509405,1347122,Undirected
1509405,1735708,Undirected
1509405,1148483,Undirected
1218282,1649846,Undirected
1218282,1756068,Undirected
1218282,1382860,Undirected
1218282,1586157,Undirected
1218282,1008903,Undirected
1218282,1430083,Undirected
1218282,1007323,Undirected
1218282,1349457,Undirected
1218282,1140754,Undirected
1218282,1162867,Undirected
1218282,1900630,Undirected
1218282,1128174,Undirected
1218282,2181203,Undirected
1218282,2061171,Undirected
1218282,1649297,Undirected
1218282,1468478,Undirected
1083250,1078999,Undirected
1083250,1411408,Undirected
1083250,1517039,Undirected
1083250,1596326,Undirected
1083250,1600228,Undirected
1083250,1430083,Undirected
1083250,1646923,Undirected
1083250,1925453,Undirected
1083250,1175463,Undirected
1083250,1701598,Undirected
1083250,1549741,Undirected
1083250,1004919,Undirected
1083250,1160275,Undirected
1083250,1497891,Undirected
1460288,1749448,Undirected
1460288,1975936,Undirected
1460288,1200863,Undirected
1460288,1097951,Undirected
1460288,1108175,Undirected
1460288,1801023,Undirected
1460288,1802458,Undirected
1460288,2030365,Undirected
1460288,2178853,Undirected
1460288,1907437,Undirected
1460288,1501184,Undirected
1460288,1015559,Undirected
1460288,1447080,Undirected
1460288,2021059,Undirected
1460288,1483111,Undirected
1460288,1377722,Undirected
1460288,1919773,Undirected
1460288,1147450,Undirected
1460288,1545854,Undirected
1460288,1123156,Undirected
1460288,1221977,Undirected
1460288,1513399,Undirected
1690691,1961262,Undirected
1690691,1888812,Undirected
1690691,1265369,Undirected
1690691,1712216,Undirected
1690691,1955377,Undirected
1690691,1405963,Undirected
1690691,1746085,Undirected
1690691,2130182,Undirected
1690691,1578934,Undirected
1690691,1692475,Undirected
1690691,1971190,Undirected
1690691,1101365,Undirected
1690691,1890736,Undirected
1690691,2186915,Undirected
1690691,1672317,Undirected
1690691,1747095,Undirected
1690691,1463585,Undirected
1690691,1130522,Undirected
1690691,1015527,Undirected
1138292,1355965,Undirected
1138292,1834174,Undirected
1138292,1366638,Undirected
1138292,2088712,Undirected
1138292,1535330,Undirected
1138292,1746262,Undirected
1138292,1808237,Undirected
1138292,1967937,Undirected
1138292,1043233,Undirected
1138292,1264879,Undirected
1138292,1871527,Undirected
1138292,1351142,Undirected
1138292,1219898,Undirected
1138292,2076878,Undirected
1138292,1908779,Undirected
1138292,1667036,Undirected
1737723,1589658,Undirected
1737723,1799685,Undirected
1737723,1702049,Undirected
1737723,1472602,Undirected
1737723,1754531,Undirected
1737723,2064859,Undirected
1737723,1497891,Undirected
1737723,1237604,Undirected
1737723,1325246,Undirected
1737723,2123575,Undirected
1737723,1537508,Undirected
1737723,1003400,Undirected
1737723,1981790,Undirected
1737723,1202595,Undirected
1737723,1780789,Undirected
1737723,1123156,Undirected
1737723,1355965,Undirected
1737723,1008903,Undirected
