Id,Label,age,gender,friend_count,likes,likes_received
1931258,1931258,30,male,154,33,9
1556454,1556454,20,male,96,1,0
1509405,1509405,21,female,37,29,24
1218282,1218282,22,female,60,88,15
1083250,1083250,26,female,7,0,1
1460288,1460288,27,female,158,1,1
1690691,1690691,24,female,23,1,7
1138292,1138292,26,male,20,9,4
1737723,1737723,24,male,29,152,1
1164040,1164040,18,male,21,2,0
1450482,1450482,22,male,99,6,0
1384571,1384571,27,male,0,0,0
1540664,1540664,28,female,426,0,3
1157781,1157781,26,female,42,52,4
2094275,2094275,28,male,62,170,29
1650685,1650685,28,male,103,4,0
1395581,1395581,23,male,2027,1280,9570
1848767,1848767,24,male,38,6,1
1495786,1495786,19,female,62,629,1077
2030365,2030365,23,male,4705,687,2291
1516850,1516850,23,male,106,0,2
1618641,1618641,26,male,18,9,0
1387010,1387010,19,male,147,273,57
2160991,2160991,28,male,167,119,22
1941984,1941984,23,male,2,27,0
1007323,1007323,29,male,82,2,3
2071109,2071109,23,male,0,0,0
1140754,1140754,23,male,212,0,80
2039425,2039425,25,male,254,119,175
1499843,1499843,25,female,115,1,0
2138572,2138572,18,male,10,6,0
2032084,2032084,27,male,1120,1,61
1423204,1423204,28,male,128,117,92
1710060,1710060,29,male,151,196,6
1501184,1501184,18,female,162,64,72
1752158,1752158,27,male,147,5,0
1435382,1435382,21,male,159,97,23
2088712,2088712,25,female,324,993,628
1678864,1678864,18,female,158,51,155
2039839,2039839,26,female,27,16,8
1137075,1137075,28,male,19,1,0
1668072,1668072,25,male,798,10773,2204
2057276,2057276,24,male,5,0,0
1873899,1873899,22,male,96,41,2
1980331,1980331,25,female,120,441,464
1309677,1309677,27,male,6,0,0
1783376,1783376,29,female,96,6,15
1103114,1103114,24,male,77,0,0
1394146,1394146,20,male,242,4,13
1350417,1350417,29,male,108,39,7
1664236,1664236,22,female,239,23,8
1436716,1436716,21,male,17,6,3
1618649,1618649,21,female,84,0,10
1849892,1849892,27,female,310,495,492
1259022,1259022,23,female,30,2,0
1430083,1430083,18,female,46,6,14
1935432,1935432,21,male,393,2,0
2138371,2138371,29,male,169,0,39
1382746,1382746,21,female,42,0,0
1469352,1469352,30,female,47,267,391
1019960,1019960,24,male,241,4,11
2065367,2065367,18,male,285,193,11
1683900,1683900,23,male,117,263,151
2093483,2093483,21,male,240,367,158
1507310,1507310,26,male,52,279,34
1995859,1995859,24,female,217,259,821
2120487,2120487,30,male,336,133,225
2018973,2018973,21,male,7,30,12
1653547,1653547,18,female,236,377,297
1370758,1370758,21,male,43,0,0
1096458,1096458,20,female,93,573,296
1035116,1035116,22,male,183,43,0
1649846,1649846,25,female,55,0,4
2050088,2050088,26,female,817,911,293
1703449,1703449,25,male,55,80,32
1124458,1124458,25,female,20,0,0
1405963,1405963,26,female,243,3,7
1001237,1001237,27,male,207,1,3
1425414,1425414,18,male,86,3,3
1192666,1192666,20,male,105,48,27
2105572,2105572,23,female,19,9,0
1818851,1818851,19,male,99,0,1
1253573,1253573,19,male,211,103,3
1355336,1355336,18,male,61,3,0
1925453,1925453,20,male,268,18,3
1449252,1449252,24,male,52,0,4
1100835,1100835,27,male,19,0,0
1724666,1724666,21,female,36,30,11
1199611,1199611,21,female,1704,1316,1872
1905701,1905701,23,female,203,2,2
1620155,1620155,22,female,612,3,72
1679380,1679380,20,female,409,555,215
1466339,1466339,24,male,124,14,12
1263400,1263400,29,male,71,0,0
1453840,1453840,21,male,525,1,2
1932008,1932008,26,female,47,0,0
1535330,1535330,23,male,167,5,0
2050664,2050664,19,male,272,309,270
1652258,1652258,26,male,3,2,0
1980911,1980911,21,female,510,166,442
1144529,1144529,18,female,1111,0,120
1060630,1060630,24,female,286,230,262
1774214,1774214,19,male,121,0,0
1042121,1042121,20,male,60,4626,2360
1110969,1110969,20,female,358,0,13
1208400,1208400,21,male,8,0,0
2049146,2049146,21,female,801,181,88
